test,part,groupId,questions,pdfPages,assetPath,status
1,6,P6-131-134,131-134,[9],public/assets/bai-on-1/reading/passages/part6_p131_134.png,OK
1,6,P6-135-138,135-138,[10],public/assets/bai-on-1/reading/passages/part6_p135_138.png,OK
1,6,P6-139-142,139-142,[11],public/assets/bai-on-1/reading/passages/part6_p139_142.png,OK
1,6,P6-143-146,143-146,[12],public/assets/bai-on-1/reading/passages/part6_p143_146.png,OK
1,7,P7-147-148,147-148,[14],public/assets/bai-on-1/reading/passages/part7_q147_148.png,OK
1,7,P7-149-150,149-150,[15],public/assets/bai-on-1/reading/passages/part7_q149_150.png,OK
1,7,P7-151-152,151-152,[16],public/assets/bai-on-1/reading/passages/part7_q151_152.png,OK
1,7,P7-153-154,153-154,[17],public/assets/bai-on-1/reading/passages/part7_q153_154.png,OK
1,7,P7-155-157,155-157,[18],public/assets/bai-on-1/reading/passages/part7_q155_157.png,OK
1,7,P7-158-160,158-160,[19],public/assets/bai-on-1/reading/passages/part7_q158_160.png,OK
1,7,P7-161-163,161-163,[20],public/assets/bai-on-1/reading/passages/part7_q161_163.png,OK
1,7,P7-164-167,164-167,[21],public/assets/bai-on-1/reading/passages/part7_q164_167.png,OK
1,7,P7-168-171,168-171,[22],public/assets/bai-on-1/reading/passages/part7_q168_171.png,OK
1,7,P7-172-175,172-175,[23],public/assets/bai-on-1/reading/passages/part7_q172_175.png,OK
1,7,P7-176-180,176-180,[24],public/assets/bai-on-1/reading/passages/part7_q176_180.png,OK
1,7,P7-181-185,181-185,[25],public/assets/bai-on-1/reading/passages/part7_q181_185.png,OK
1,7,P7-186-190,186-190,"[26, 27]",public/assets/bai-on-1/reading/passages/part7_q186_190.png,OK
1,7,P7-191-195,191-195,[28],public/assets/bai-on-1/reading/passages/part7_q191_195.png,OK
1,7,P7-196-200,196-200,[29],public/assets/bai-on-1/reading/passages/part7_q196_200.png,OK
2,6,P6-131-134,131-134,[9],public/assets/bai-on-2/reading/passages/part6_p131_134.png,OK
